TeamName,City,State
Abilene Chr,Abilene,TX
Air Force,USAFA,CO
Akron,Akron,OH
Alabama,Tuscaloosa,AL
Alabama A&M,Normal,AL
Alabama St,Montgomery,AL
SUNY Albany,Albany,NY
Alcorn St,Alcorn State,MS
American Univ,Washington,DC
Appalachian St,Boone,NC
Arizona,Tucson,AZ
Arizona St,Tempe,AZ
Ark Little Rock,Little Rock,AR
Ark Pine Bluff,Pine Bluff,AR
Arkansas,Fayetteville,AR
Arkansas St,Jonesboro,AR
Army,West Point,NY
Auburn,Auburn,AL
Austin Peay,Clarksville,TN
Ball St,Muncie,IN
Baylor,Waco,TX
Belmont,Nashville,TN
Bethune-Cookman,Daytona Beach,FL
Binghamton,Vestal,NY
Boise St,Boise,ID
Boston College,Chestnut Hill,MA
Boston Univ,Boston,MA
Bowling Green,Bowling Green,OH
Bradley,Peoria,IL
Brown,Providence,RI
Bryant,Smithfield,RI
Bucknell,Lewisburg,PA
Buffalo,Buffalo,NY
Butler,Indianapolis,IN
BYU,Provo,UT
C Michigan,Mount Pleasant,MI
Cal Poly,San Luis Obispo,CA
California,Berkeley,CA
Campbell,Buies Creek,NC
Canisius,Buffalo,NY
Cent Arkansas,Conway,AR
Central Conn,New Britain,CT
Charleston So,Charleston,SC
Charlotte,Charlotte,NC
Chattanooga,Chattanooga,TN
Chicago St,Chicago,IL
Cincinnati,Cincinnati,OH
Citadel,Charleston,SC
Clemson,Clemson,SC
Cleveland St,Cleveland,OH
Coastal Car,Conway,SC
Col Charleston,Charleston,SC
Colgate,Hamilton,NY
Colorado,Boulder,CO
Colorado St,Fort Collins,CO
Columbia,New York,NY
Connecticut,Storrs,CT
Coppin St,Baltimore,MD
Cornell,Ithaca,NY
Creighton,Omaha,NE
CS Bakersfield,Bakersfield,CA
CS Fullerton,Fullerton,CA
CS Northridge,Northridge,CA
CS Sacramento,Sacramento,CA
Dartmouth,Hanover,NH
Davidson,Davidson,NC
Dayton,Dayton,OH
Delaware,Newark,DE
